"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Snord42b",0.776482333333335,7.93934746153846,8.65865196115176,7.90489181313981e-07,0.0132068414309901,5.88671581050947
"Snora34",1.06142607142857,7.21312738461538,8.32285613318482,1.23868330810262e-06,0.0132068414309901,5.50856594845328
"Prpf38b",0.657983452380956,8.63148638461538,7.43155313583819,4.34996480974467e-06,0.0173341724882355,4.42645392780236
"H2ac19",-0.603507857142851,11.4396707692308,-7.41175187265845,4.47801145262341e-06,0.0173341724882355,4.40106408442134
"Snora69",0.901501214285719,8.56556076923077,7.32691448351426,5.07354441090246e-06,0.0173341724882355,4.29159779649799
"Hexim1",0.735661452380955,7.72610076923077,7.13326983973673,6.76995098212888e-06,0.0173341724882355,4.03754122434794
"Tuba1a",-2.37414957142857,11.6688772307692,-7.02321756972857,7.99323889519443e-06,0.0173341724882355,3.89052855579624
"Hnrnpr",0.459777023809527,8.00307492307692,6.9964082546171,8.32530588216136e-06,0.0173341724882355,3.85442472455784
"H2ac18",-0.572966666666666,11.3580638461538,-6.96066278464312,8.79090971831934e-06,0.0173341724882355,3.80610875358729
"Hnrnph3",0.740290214285718,8.90983669230769,6.94960059518936,8.94051586117746e-06,0.0173341724882355,3.79111509102448
"U2af1",0.501736476190479,8.12395853846154,6.89346912154965,9.74222928447832e-06,0.0173341724882355,3.71473337131315
"A330023F24Rik",0.73285954761905,7.21209715384615,6.82356397779142,1.08482565042322e-05,0.0173341724882355,3.61890313488882
"Paqr9",-2.33062597619047,8.22051661538462,-6.81354262276187,1.10173743646888e-05,0.0173341724882355,3.60510090824958
"Ddx3x",0.408354285714289,10.2843869230769,6.67360702516779,1.36930307233985e-05,0.0173341724882355,3.41067749447309
"Ppargc1a",1.26710957142857,7.79430323076923,6.63947207721002,1.4444611193668e-05,0.0173341724882355,3.36277029314948
"Snora16a",1.11017066666667,9.12000946153846,6.61429724487707,1.50267324371696e-05,0.0173341724882355,3.3273170689276
"Snord85",0.68343192857143,6.55578769230769,6.5906780526717,1.55954127103758e-05,0.0173341724882355,3.2939609313097
"Mtarc1",-2.52439559523809,8.42840376923077,-6.56682162482611,1.61928991743598e-05,0.0173341724882355,3.26017758598744
"Snora24",1.00834154761905,7.29270169230769,6.54731744519642,1.66993114102078e-05,0.0173341724882355,3.23248861678134
"Clk4",0.543962357142862,9.30599069230769,6.53871527965362,1.69279428722145e-05,0.0173341724882355,3.22025690573211
"Oxtr",-2.04618271428571,7.91238269230769,-6.53340250607959,1.70707945157075e-05,0.0173341724882355,3.21269646396391
"Prr32",-2.21938469047619,6.53132346153846,-6.47656994121075,1.86809438060725e-05,0.0181069293509404,3.13153153818303
"H2af-ps2",-0.547121428571424,11.6977438461538,-6.38484255522716,2.16263608097768e-05,0.0199399552963355,2.99941764290693
"H2bc23",-0.729686428571426,9.98870307692308,-6.36175466445171,2.24422682007153e-05,0.0199399552963355,2.965947287708
"Zfp445",0.504349166666669,8.84144853846154,6.30530646472967,2.45766901994795e-05,0.0200069158678919,2.88374642897589
"Taf1d",0.662230619047623,10.0429526153846,6.27067094284877,2.59912794155674e-05,0.0200069158678919,2.83305057771851
"Lgals4",1.05038573809524,7.64724284615385,6.25144244390533,2.68133844399022e-05,0.0200069158678919,2.80482082659811
"Taf15",0.77148728571429,8.54809976923077,6.20879875217976,2.87358086472618e-05,0.0200069158678919,2.74199789791542
"H2bc14",-0.714575785714285,8.80451807692308,-6.19463006108024,2.94062193362894e-05,0.0200069158678919,2.72105832256314
"Zfp146",0.463221857142862,8.47033784615385,6.19184141971982,2.9540095118825e-05,0.0200069158678919,2.71693316658205
"Akap8",0.52649166666667,9.35520015384615,6.1857638767487,2.98340896808385e-05,0.0200069158678919,2.70793840297895
"Tubgcp5",0.483500476190477,7.39886592307692,6.16834020986857,3.06941306309516e-05,0.0200069158678919,2.68211770048097
"Trit1",0.852933452380953,8.03461830769231,6.16302322616915,3.09617437460341e-05,0.0200069158678919,2.67422834385168
"Hspb7",-1.85605138095238,7.93259061538462,-6.07801782855006,3.55902407443252e-05,0.020607544263861,2.54746554079964
"H3c15",-0.691368333333331,10.9129369230769,-6.05501725380155,3.69638595923088e-05,0.020607544263861,2.51296200909907
"Sp4",0.695597690476192,7.10354123076923,6.03744847688207,3.80505777551405e-05,0.020607544263861,2.48654819019644
"Snord61",0.569017261904764,4.53042392307692,6.02994702423973,3.85247636465276e-05,0.020607544263861,2.4752546500057
"Ubxn7",0.507148285714287,8.68767515384615,6.02004205626699,3.91604162958164e-05,0.020607544263861,2.46032840954132
"Uimc1",0.492232166666673,8.29739607692308,6.0037196995747,4.02320679808178e-05,0.020607544263861,2.4356963267847
"Olfm1",-1.55234573809523,8.57482630769231,-5.98193082446886,4.17108800752441e-05,0.020607544263861,2.40274646744982
"Cimap1c",-1.69847219047619,7.39756661538462,-5.98126179814566,4.17571807081973e-05,0.020607544263861,2.40173350903236
