"probe_id","mgi_symbol","GSM5429739","GSM5429740","GSM5429741","GSM5429742","GSM5429743","GSM5429744","GSM5429745","GSM5429746","GSM5429747","GSM5429748","GSM5429749","GSM5429750","GSM5429751"
"10383342","0610009L18Rik",7.425124,7.016612,7.175824,7.08656,7.252497,7.172225,7.125185,7.062211,7.109985,7.221836,7.141599,7.1106,7.351639
"10506054","0610025J13Rik",6.641876,6.524329,7.06018,6.69245,6.613658,6.899191,6.780571,6.491643,6.979311,6.634165,6.717142,6.802515,7.078435
"10539104","0610030E20Rik",8.789647,8.634471,8.615503,8.81883,8.511152,8.866043,8.489749,9.323617,9.024017,8.613298,8.776374,9.20852,8.446872
"10572960","0610038B21Rik",6.774291,6.608218,6.618557,6.747385,6.281871,6.796441,6.944151,6.643574,6.984477,6.559092,6.838387,7.016816,7.258465
"10478407","0610039K10Rik",5.850451,5.799027,5.838956,5.871696,5.493674,5.905845,5.948906,5.86699,5.693001,5.775978,5.670057,5.640605,5.838192
"10527184","0610040B10Rik",6.842846,6.40174,6.836934,6.748027,6.750664,6.373511,6.551197,7.503138,6.992943,7.107296,6.623422,6.890801,6.763317
"10399224","1110002L01Rik",7.767473,7.40919,7.297779,7.149601,7.50102,7.421168,7.392847,7.560612,7.410952,7.559061,7.594497,7.385199,7.888939
"10556576","1110004F10Rik",8.939505,9.119098,8.967127,8.983639,8.987804,8.820344,8.741819,9.304226,9.000875,9.311265,9.172928,8.938398,8.501238
"10533003","1110006O24Rik",7.800401,7.484652,7.277858,7.337845,7.584312,7.652312,7.425801,7.367891,7.201082,7.472732,7.06132,7.482494,7.011829
"10492556","1110032F04Rik",5.369864,5.006874,5.679744,5.665304,5.546752,5.650481,5.681794,5.386759,5.607722,5.668153,5.58896,5.514145,5.701898
"10425024","1110038F14Rik",8.090118,8.221846,7.840306,8.34186,7.977492,8.236354,8.177462,8.207069,7.922669,8.105621,7.94323,8.106498,7.959211
"10466676","1110059E24Rik",8.356877,8.46133,8.280138,8.387669,7.873454,8.101434,8.191357,8.574592,8.513299,8.412729,8.577875,8.382183,8.467022
"10597913","1110059G10Rik",6.797771,7.181899,7.016774,7.500072,6.528102,6.978977,7.099717,7.353522,6.848071,7.040023,7.344501,7.151898,7.195494
"10516238","1110065P20Rik",8.429785,8.382675,8.627378,8.473978,8.515108,8.752377,8.673536,8.38896,8.413939,8.636164,8.27637,8.541078,9.078065
"10582196","1190005I06Rik",6.858998,6.783934,6.998445,7.098311,6.654817,7.453376,7.448956,7.54802,7.396361,6.824975,7.186758,7.650333,7.053793
"10519181","1500002C15Rik",7.192899,7.149648,7.211014,7.117918,7.080335,7.625556,7.488507,6.908928,7.262334,6.808716,7.2225,7.198992,7.80187
"10568601","1500002F19Rik",4.523342,4.752368,4.521628,4.441458,4.388173,4.600371,4.512301,4.663129,4.541918,4.580149,4.409373,4.500656,4.793001
