"","GSM5429739","GSM5429740","GSM5429741","GSM5429742","GSM5429743","GSM5429744","GSM5429745","GSM5429746","GSM5429747","GSM5429748","GSM5429749","GSM5429750","GSM5429751"
"10338001",11.0419,11.22216,11.06175,11.05274,10.88644,11.01672,11.22619,10.89543,11.50893,11.11921,11.32203,11.15511,11.90789
"10338002",6.365265,6.354043,6.401908,6.439702,6.262673,6.731324,6.626302,6.327301,6.282436,6.345667,6.21013,6.378914,7.615354
"10338003",9.359622,9.573124,9.414,9.482718,9.173948,9.422523,9.621833,9.380645,9.839933,9.473786,9.577168,9.429494,10.56554
"10338004",8.269755,8.691183,8.53212,8.513025,7.932014,8.296972,8.511936,8.379275,8.65208,8.495989,8.510922,8.481531,9.618882
"10338005",3.431283,3.489172,3.468114,3.492043,3.469182,3.472262,3.479803,3.552432,3.460131,3.482434,3.45035,3.461122,3.524174
"10338006",3.606576,3.63247,3.576386,3.636928,3.626503,3.642323,3.635253,3.689734,3.595482,3.631874,3.572335,3.614496,3.729901
"10338007",3.780172,3.784305,3.833915,3.847926,3.81135,3.905746,3.843523,3.872728,3.725928,3.812698,3.747225,3.817626,4.051808
"10338008",4.228048,4.163355,4.173783,4.236566,4.183383,4.468545,4.285645,4.231004,4.107274,4.136286,4.121704,4.205426,4.581206
"10338009",8.201745,8.226429,8.176575,8.242415,8.102675,8.570601,8.570512,8.212238,8.042234,8.227327,7.993664,8.089825,9.575458
"10338010",3.460499,3.516668,3.476212,3.56927,3.499612,3.511712,3.508111,3.557409,3.482998,3.516668,3.47633,3.500587,3.597861
"10338011",5.770239,5.76713,5.699634,5.806322,5.637195,6.14537,5.960568,5.805342,5.636111,5.7029,5.595683,5.766435,6.734111
"10338012",3.539424,3.562659,3.518125,3.599406,3.541034,3.567725,3.567476,3.635577,3.521216,3.567476,3.52984,3.534595,3.636191
"10338013",3.382388,3.410482,3.392679,3.451495,3.391195,3.391145,3.373796,3.445562,3.408273,3.394833,3.387076,3.379642,3.45539
"10338014",3.410961,3.46004,3.412699,3.473998,3.427138,3.431411,3.444572,3.519328,3.399204,3.445337,3.412009,3.409368,3.4902
"10338015",3.377923,3.45531,3.413201,3.429216,3.415609,3.405466,3.391387,3.480694,3.418719,3.42606,3.390127,3.399106,3.492306
