"probe_id","mgi_symbol","GSM5429757","GSM5429758","GSM5429759","GSM5429760","GSM5429761","GSM5429762","GSM5429763","GSM5429764","GSM5429765","GSM5429766","GSM5429767","GSM5429768"
"10383342","0610009L18Rik",7.482327,7.488512,7.562514,7.5316,7.492608,7.589458,7.436828,7.469357,7.672715,7.624007,7.852467,7.986197
"10506054","0610025J13Rik",6.191211,6.317879,6.361583,6.446812,6.54287,6.287395,6.401684,6.294477,6.479515,6.247351,6.393617,6.3494
"10539104","0610030E20Rik",8.085659,8.128592,8.018068,8.02726,8.073456,8.397897,8.40407,8.315495,8.645535,8.376648,8.405533,8.364845
"10572960","0610038B21Rik",7.099939,6.952095,6.985939,7.122668,6.881369,6.913023,6.895471,7.675227,7.496949,7.899374,7.477733,7.574143
"10478407","0610039K10Rik",4.672325,4.723021,4.661663,4.841244,4.903549,4.935072,4.621637,4.699786,5.097026,4.899156,4.853338,4.788093
"10527184","0610040B10Rik",5.903468,5.975184,5.898451,5.922325,5.793832,5.970594,5.957817,6.051483,6.168871,6.008608,5.61376,6.000004
"10399224","1110002L01Rik",7.352605,6.950997,7.384142,7.393708,7.218282,7.476627,7.056883,7.259747,7.014198,6.962235,7.486951,7.264559
"10556576","1110004F10Rik",8.536226,8.51466,8.571233,8.383441,8.764973,8.255579,8.248155,8.320479,8.113644,8.008219,8.315751,8.080699
"10533003","1110006O24Rik",6.793177,6.875804,6.516865,6.725333,7.065437,7.024538,6.783579,6.966468,6.977931,6.93759,6.989495,6.946507
"10492556","1110032F04Rik",5.496653,5.541927,5.342506,5.508328,5.561641,5.536348,5.326354,5.529687,5.576023,5.664106,5.544979,5.561051
"10425024","1110038F14Rik",7.711735,8.154819,7.81064,7.729189,7.959811,7.550632,7.711804,7.803102,7.654248,7.723599,7.773724,7.685036
"10466676","1110059E24Rik",6.958724,7.019845,7.51252,7.363463,6.876935,6.874108,6.962662,7.057797,6.739901,6.929495,6.759147,6.563731
"10597913","1110059G10Rik",5.986775,5.865425,6.403983,6.063351,5.930348,6.012146,6.113582,6.164359,6.079868,6.271067,6.076902,5.939515
"10516238","1110065P20Rik",8.207801,8.393384,8.305828,8.13589,8.187953,8.191155,8.120752,8.360247,8.506764,8.456615,8.458035,8.3293
"10582196","1190005I06Rik",6.592154,6.383153,6.19015,6.027955,6.526673,6.20927,6.339683,6.538537,6.567809,6.433211,6.473105,6.482318
"10519181","1500002C15Rik",7.051588,6.991934,6.937865,7.027924,7.047296,7.106971,7.121003,6.977837,7.211931,7.032428,7.027192,7.179307
"10568601","1500002F19Rik",4.406808,4.42165,4.528491,4.69587,4.753653,4.530577,4.814068,4.267116,4.52711,4.467843,4.857612,4.604883
"10532892","1500011B03Rik",6.803473,6.929031,6.804152,7.022796,6.909186,6.751418,6.794049,6.876318,7.05857,7.025266,6.942825,6.826248
"10461975","1500015L24Rik",4.35296,4.436656,4.295564,4.663776,4.344712,4.396007,4.46685,4.258451,4.345879,4.129252,4.453698,4.38508
"10441919","1600012H06Rik",7.324549,7.567907,7.490294,7.419259,7.421896,7.615635,7.537804,7.966902,7.699646,7.791714,7.629365,7.783353
"10552252","1600014C10Rik",8.178307,8.012403,7.942107,7.901275,7.934373,7.907853,7.903416,7.67236,7.275793,7.540114,7.89329,7.805227
"10451195","1600014C23Rik",5.377172,5.362433,5.384365,5.394722,5.538773,5.512453,5.423026,5.337001,5.329836,5.516616,5.220364,5.581959
"10585823","1600029O15Rik",6.919494,7.024698,7.115284,7.181728,6.79402,6.857107,6.286654,6.745592,6.811216,6.778736,6.253544,6.554193
"10419140","1700001F09Rik",4.401145,4.604385,5.970002,6.550112,4.769407,5.112781,4.461824,4.053572,4.256214,4.194497,4.12095,4.201182
"10345228","1700001G17Rik",5.86175,5.985541,5.757369,5.945374,6.164432,5.900223,6.001575,5.830761,6.044331,6.047803,5.849317,6.245861
"10535720","1700001J03Rik",6.360787,5.775538,5.921055,6.077049,5.964051,5.756578,5.499632,5.765287,5.913217,5.641958,5.780962,5.757106
"10584524","1700001J11Rik",4.805177,4.150757,4.593336,3.784152,4.621576,3.519443,4.297961,3.962229,3.905383,4.304718,4.277626,4.32692
"10402608","1700001K19Rik",6.390574,5.782205,5.802103,5.929415,5.964489,6.00315,5.875673,5.915226,5.973958,5.981277,6.169922,5.913857
"10468513","1700001K23Rik",5.231613,5.32551,5.378836,5.167699,5.325211,5.357696,5.503879,5.334944,5.28242,5.283161,5.387807,5.451706
"10430993","1700001L05Rik",7.477337,6.039671,6.076842,5.970802,5.955812,6.14963,6.281535,5.901515,6.122988,5.953327,5.912776,6.156512
"10481499","1700001O22Rik",8.752624,8.631039,9.266186,8.171867,8.785873,9.049007,8.242678,6.737783,6.590102,6.417977,8.674827,7.410552
"10539358","1700003E16Rik",6.254412,5.4279,5.052039,4.985732,4.945115,5.051674,5.23056,4.770658,5.242689,4.914865,4.999829,4.999621
"10600746","1700003E24Rik",6.044902,5.482118,5.601152,5.994209,5.590915,5.437351,5.242188,5.159336,5.380929,5.334323,5.44099,5.381644
"10477551","1700003F12Rik",6.886878,7.159176,6.572177,6.861177,7.084282,6.833683,6.76464,6.859046,7.163154,7.229192,6.957215,7.241109
"10501953","1700003H04Rik",4.253085,3.991431,4.047717,3.986759,4.135052,4.227567,3.973714,3.876183,3.792594,3.97819,4.040759,3.861506
"10459799","1700003O11Rik",5.503208,5.566818,5.595415,5.617325,5.948726,5.744627,5.771007,5.588606,5.548951,5.482559,5.427173,5.718078
"10501942","1700006A11Rik",4.740836,3.674808,3.902937,3.885471,3.556982,3.789185,3.673823,3.526013,3.755909,3.595565,3.551533,3.512036
"10366645","1700006J14Rik",7.549637,5.771965,5.766031,5.953078,6.007641,5.826903,5.941903,5.650161,5.871752,5.743832,5.896951,5.954423
"10568258","1700008J07Rik",8.173134,8.094229,7.726004,7.858979,8.05965,8.020834,8.02424,7.992025,8.218983,8.169318,8.073555,8.10708
"10562767","1700008O03Rik",6.051611,6.101519,5.900879,6.118811,6.104083,5.945802,6.173421,6.09228,6.067524,6.058533,5.956586,5.958232
"10497181","1700008P02Rik",4.413173,4.312457,4.260458,4.277689,4.328897,4.344217,4.409469,3.921278,4.39599,4.246763,4.209585,4.088206
"10364331","1700009J07Rik",5.700253,4.756314,4.74096,4.732595,4.760269,4.706221,4.794621,4.671721,4.816448,4.786056,4.839466,4.799068
"10503958","1700009N14Rik",8.358801,4.823939,4.685809,4.635211,4.760705,4.771877,5.031459,4.595704,4.876463,4.661765,4.582237,4.654284
