"probe_id","mgi_symbol","GSM5429757","GSM5429758","GSM5429759","GSM5429760","GSM5429761","GSM5429762","GSM5429763","GSM5429764","GSM5429765","GSM5429766","GSM5429767","GSM5429768"
"10338001",NA,11.45495,11.47477,11.80305,11.91214,11.58391,11.65971,11.62075,11.96633,11.89563,11.93217,11.96378,11.98236
"10338002",NA,6.68276,6.732846,6.26465,6.351782,6.642982,6.483627,6.635252,6.660903,6.817982,6.74535,6.896832,6.875243
"10338003",NA,9.74559,9.779051,10.05598,10.15551,9.885964,9.921167,9.869284,10.2633,10.27862,10.27858,10.39649,10.41323
"10338004",NA,8.670921,8.526449,8.919804,9.093576,8.751609,8.885127,8.793393,9.268103,9.042498,9.099201,9.122228,9.222668
"10338005",NA,3.267582,3.266962,3.262789,3.229024,3.386798,3.228507,3.303369,3.220633,3.216449,3.204922,3.265501,3.217284
"10338006",NA,3.434659,3.466503,3.375498,3.357134,3.534542,3.434468,3.475749,3.423671,3.446718,3.413262,3.484243,3.469683
"10338007",NA,3.749773,3.741602,3.573884,3.568769,3.762111,3.662913,3.747054,3.701532,3.726794,3.697785,3.801623,3.748104
"10338008",NA,4.237452,4.234908,3.957714,4.021658,4.275781,4.12503,4.279122,4.232872,4.364284,4.26785,4.365072,4.38163
"10338009",NA,8.701319,8.734664,8.398867,8.515703,8.661304,8.701078,8.692604,8.841712,8.917042,8.93994,9.180775,9.092031
"10338010",NA,3.340433,3.291815,3.277954,3.23955,3.358584,3.289615,3.317731,3.27793,3.276871,3.254687,3.305823,3.272291
"10338011",NA,5.988483,6.054547,5.583631,5.605905,5.981521,5.85571,6.00888,6.045644,6.295362,6.197515,6.28698,6.272458
"10338012",NA,3.349681,3.374842,3.344694,3.286545,3.42755,3.357679,3.407948,3.361953,3.356794,3.337799,3.405167,3.364236
"10338013",NA,3.230129,3.171909,3.15595,3.131764,3.276554,3.191121,3.250226,3.106126,3.121487,3.078783,3.138241,3.103405
"10338014",NA,3.23778,3.220885,3.218627,3.192037,3.277037,3.247294,3.291952,3.185733,3.176937,3.153079,3.198516,3.169112
"10338015",NA,3.175636,3.193695,3.180205,3.151006,3.281556,3.178394,3.244296,3.12566,3.138154,3.112285,3.171115,3.144877
"10338016",NA,7.962391,7.904767,7.502271,7.662468,7.89002,7.829341,7.878911,7.992277,8.133112,8.102696,8.244678,8.230919
"10338017",NA,12.46967,12.37662,12.79817,12.97129,12.67426,12.71336,12.79762,13.04949,12.86715,12.90781,12.94104,12.88922
"10338018",NA,7.121071,7.163455,6.64283,6.673814,7.093584,6.923099,7.084014,7.11118,7.308031,7.259269,7.372862,7.335831
"10338019",NA,5.442604,5.553377,5.078601,5.151135,5.456494,5.353958,5.498268,5.460001,5.700669,5.563276,5.68469,5.64965
"10338020",NA,8.475503,8.437083,8.088729,8.236178,8.426223,8.394602,8.374743,8.53725,8.688168,8.641632,8.897789,8.812968
"10338021",NA,3.519639,3.591051,3.476945,3.426172,3.60471,3.526901,3.562509,3.47326,3.575653,3.509867,3.589582,3.538976
"10338022",NA,3.445147,3.457313,3.388542,3.358281,3.555896,3.447146,3.479254,3.430179,3.414339,3.396975,3.458216,3.428754
"10338023",NA,3.912224,3.993295,3.711719,3.738385,3.901879,3.861146,3.90295,3.881772,3.97464,3.953027,3.978299,4.013205
"10338024",NA,7.481167,7.529866,7.044069,7.201617,7.439914,7.34634,7.420139,7.433365,7.65256,7.607141,7.755889,7.697943
"10338025",NA,8.385093,8.504316,8.900745,8.950266,8.86294,8.526421,8.694817,8.954043,8.959095,8.974765,9.130237,8.953231
"10338026",NA,12.911,12.75133,13.13921,13.2431,12.9235,13.00852,13.05774,13.32042,13.14488,13.24558,13.2263,13.18971
"10338027",NA,7.478727,7.496562,7.086668,7.219593,7.452174,7.305484,7.434355,7.619326,7.73098,7.686287,7.825425,7.760825
"10338028",NA,4.815927,4.858753,4.45636,4.563182,4.877522,4.759621,4.832674,4.821815,4.985612,4.875801,5.00959,5.039548
"10338029",NA,9.269747,9.134327,9.727367,9.948973,9.567412,9.524623,9.4129,9.941895,9.621011,9.754687,9.932781,9.810668
"10338030",NA,3.230697,3.255144,3.210149,3.180485,3.298464,3.242418,3.288867,3.216172,3.225921,3.179264,3.249007,3.205073
"10338031",NA,3.19622,3.184263,3.146933,3.14859,3.256959,3.145245,3.218486,3.112197,3.105628,3.083555,3.140214,3.108291
"10338032",NA,3.219764,3.255403,3.225158,3.19783,3.299415,3.227566,3.299501,3.203258,3.195678,3.162102,3.237074,3.201958
"10338033",NA,7.10338,7.151223,6.657274,6.719249,7.102055,6.979395,7.126511,7.171439,7.324899,7.272708,7.406308,7.356533
"10338034",NA,3.976611,4.058001,3.80562,3.800301,4.042046,3.944543,4.040133,3.974866,4.035233,4.023304,4.113681,4.066195
"10338035",NA,8.540368,8.567014,8.849288,8.895329,8.691757,8.72823,8.703095,8.986682,8.964712,8.954384,9.07566,9.099894
"10338036",NA,9.003461,8.727834,9.396729,9.529747,9.224563,9.040323,9.17022,9.513957,9.303046,9.395309,9.405968,9.423333
"10338037",NA,4.105359,4.215324,4.095036,4.084721,4.207636,4.135065,4.17191,4.098173,4.09607,4.05863,4.121902,4.096673
"10338038",NA,2.968923,3.236383,3.206191,3.11926,3.154613,3.220261,3.471345,2.987365,3.17402,3.110073,3.183881,3.121047
"10338039",NA,8.552431,8.462635,8.16034,8.26565,8.507556,8.416733,8.415883,8.499594,8.711578,8.610535,8.853778,8.75935
"10338040",NA,4.696453,4.715792,4.328913,4.299812,4.729264,4.638952,4.641135,4.683816,4.863766,4.815825,4.879725,4.843317
"10338041",NA,10.62267,10.4101,11.13001,11.38846,10.73292,10.86366,10.89754,11.22055,10.89799,11.12773,11.15059,11.12848
"10338042",NA,9.441113,9.53087,9.837223,10.0075,9.799528,9.777568,9.792279,10.28962,10.18923,10.11418,10.27181,10.28774
"10338043",NA,3.172497,3.179506,3.143747,3.142162,3.254506,3.163616,3.175795,3.112152,3.115734,3.096314,3.138496,3.096272
"10338044",NA,11.66389,11.5824,11.87298,12.12747,11.84414,11.82213,11.9026,12.26874,12.14592,12.14443,12.26454,12.25988
